"module name","license","repository"
"@auth/core@0.40.0","ISC","https://github.com/nextauthjs/next-auth"
"@floating-ui/core@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/dom@1.7.3","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/react-dom@2.1.5","MIT","https://github.com/floating-ui/floating-ui"
"@floating-ui/utils@0.2.10","MIT","https://github.com/floating-ui/floating-ui"
"@img/sharp-libvips-linux-x64@1.2.0","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-libvips-linuxmusl-x64@1.2.0","LGPL-3.0-or-later","https://github.com/lovell/sharp-libvips"
"@img/sharp-linux-x64@0.34.3","Apache-2.0","https://github.com/lovell/sharp"
"@img/sharp-linuxmusl-x64@0.34.3","Apache-2.0","https://github.com/lovell/sharp"
"@mux/mux-data-google-ima@0.2.8","MIT",""
"@mux/mux-player-react@3.5.1","MIT","https://github.com/muxinc/elements"
"@mux/mux-player@3.5.1","MIT","https://github.com/muxinc/elements"
"@mux/mux-video@0.26.1","MIT","https://github.com/muxinc/elements"
"@mux/playback-core@0.30.1","MIT","https://github.com/muxinc/elements"
"@next/env@15.4.4","MIT","https://github.com/vercel/next.js"
"@next/swc-linux-x64-gnu@15.4.4","MIT","https://github.com/vercel/next.js"
"@next/swc-linux-x64-musl@15.4.4","MIT","https://github.com/vercel/next.js"
"@panva/hkdf@1.2.1","MIT","https://github.com/panva/hkdf"
"@radix-ui/number@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/primitive@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-arrow@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-collection@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-compose-refs@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-context@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-direction@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dismissable-layer@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-dropdown-menu@2.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-guards@1.1.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-focus-scope@1.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-id@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-label@2.1.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-menu@2.1.15","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-popper@1.2.7","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-portal@1.1.9","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-presence@1.1.4","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-primitive@2.1.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-roving-focus@1.1.10","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slider@1.3.5","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-slot@1.2.3","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-callback-ref@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-controllable-state@1.2.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-effect-event@0.0.2","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-escape-keydown@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-layout-effect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-previous@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/react-use-size@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@radix-ui/rect@1.1.1","MIT","https://github.com/radix-ui/primitives"
"@svta/common-media-library@0.12.4","Apache-2.0","https://github.com/streaming-video-technology-alliance/common-media-library"
"@swc/helpers@0.5.15","Apache-2.0","https://github.com/swc-project/swc"
"@types/react-dom@19.1.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@19.1.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@vercel/edge@1.2.2","Apache-2.0","https://github.com/vercel/vercel"
"@vimeo/player@2.29.0","MIT","https://github.com/vimeo/player.js"
"abcjs@6.5.1","MIT","https://github.com/paulrosen/abcjs"
"aria-hidden@1.2.6","MIT","https://github.com/theKashey/aria-hidden"
"bcp-47-match@2.0.3","MIT","https://github.com/wooorm/bcp-47-match"
"bcp-47-normalize@2.3.0","MIT","https://github.com/wooorm/bcp-47-normalize"
"bcp-47@2.1.0","MIT","https://github.com/wooorm/bcp-47"
"caniuse-lite@1.0.30001731","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"castable-video@1.1.10","MIT","https://github.com/muxinc/media-elements"
"ce-la-react@0.3.0","BSD-3-Clause","https://github.com/muxinc/ce-la-react"
"class-variance-authority@0.7.1","Apache-2.0","https://github.com/joe-bell/cva"
"client-only@0.0.1","MIT",""
"cloudflare-video-element@1.3.3","MIT","https://github.com/muxinc/media-elements"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"codem-isoboxer@0.3.10","MIT","https://github.com/madebyhiro/codem-isoboxer"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"color-string@1.9.1","MIT","https://github.com/Qix-/color-string"
"color@4.2.3","MIT","https://github.com/Qix-/color"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"custom-media-element@1.4.5","MIT","https://github.com/muxinc/media-elements"
"dash-video-element@0.1.6","MIT","https://github.com/muxinc/media-elements"
"dashjs@5.0.3","BSD-3-Clause","https://github.com/Dash-Industry-Forum/dash.js"
"detect-libc@2.0.4","Apache-2.0","https://github.com/lovell/detect-libc"
